Theta           pTheta
0.015625        0.0009765625
0.03125		0.001953125 
0.046875	0.002929688 
0.0625		0.00390625  
0.078125	0.004882812 
0.09375		0.005859375 
0.109375	0.006835938 
0.125		0.0078125   
0.140625	0.008789062 
0.15625		0.009765625 
0.171875	0.01074219  
0.1875		0.01171875  
0.203125	0.01269531  
0.21875		0.01367188  
0.234375	0.01464844  
0.25		0.015625    
0.265625	0.01660156  
0.28125		0.01757812  
0.296875	0.01855469  
0.3125		0.01953125  
0.328125	0.02050781  
0.34375		0.02148438  
0.359375	0.02246094  
0.375		0.0234375   
0.390625	0.02441406  
0.40625		0.02539062  
0.421875	0.02636719  
0.4375		0.02734375  
0.453125	0.02832031  
0.46875		0.02929688  
0.484375	0.03027344  
0.5		0.03125	    
0.515625	0.03027344  
0.53125		0.02929688  
0.546875	0.02832031  
0.5625		0.02734375  
0.578125	0.02636719  
0.59375		0.02539062  
0.609375	0.02441406  
0.625		0.0234375   
0.640625	0.02246094  
0.65625		0.02148438  
0.671875	0.02050781  
0.6875		0.01953125  
0.703125	0.01855469  
0.71875		0.01757812  
0.734375	0.01660156  
0.75		0.015625    
0.765625	0.01464844  
0.78125		0.01367188  
0.796875	0.01269531  
0.8125		0.01171875  
0.828125	0.01074219  
0.84375		0.009765625 
0.859375	0.008789062 
0.875		0.0078125   
0.890625	0.006835938 
0.90625		0.005859375 
0.921875	0.004882812 
0.9375		0.00390625  
0.953125	0.002929688 
0.96875		0.001953125 
0.984375	0.0009765625
